column,dtype,non_null_n,non_null_fraction,description,example_value
S_active_continuous_peak_v0_4_4,float64,5865,1.0,,2.260763285368298
S_active_no_peak_v0_4_4,float64,5865,1.0,,1.5865841746609286
tier_baseline_active_v0_4_4,object,5865,1.0,,Gold
percentile_baseline_active_v0_4_4,float64,5865,1.0,,96.47058823529412
tier_no_HSP_catalogue_flag_v0_4_4,object,5865,1.0,,Gold
percentile_no_HSP_catalogue_flag_v0_4_4,float64,5865,1.0,,98.48252344416028
tier_continuous_peak_only_v0_4_4,object,5865,1.0,,Gold
percentile_continuous_peak_only_v0_4_4,float64,5865,1.0,,98.49957374254048
tier_no_peak_component_v0_4_4,object,5865,1.0,,Gold
percentile_no_peak_component_v0_4_4,float64,5865,1.0,,97.51065643648764
