column,dtype,non_null_n,non_null_fraction,description,example_value
ML_RATE_P8_ASYM_ERR,object,5865,1.0,,[-0.          0.01660879]
ML_FLUX_P8,float64,5865,1.0,,0.0
ML_FLUX_P8_ERR,float64,5865,1.0,,7.573546e-13
ML_FLUX_P8_ASYM_ERR,object,5865,1.0,,[-0.000000e+00  7.573546e-13]
ML_BKG_P8,float64,5865,1.0,,0.06283148
ML_EXP_P8,float64,5865,1.0,,43.788437
ML_EEF_P8,float64,5865,1.0,,0.73298055
APE_CTS_P8,int64,5865,1.0,,0
APE_BKG_P8,float64,5865,1.0,,0.15695679
APE_EXP_P8,float64,5865,1.0,,43.79345
APE_RADIUS_P8,float64,5865,1.0,,13.367275
APE_POIS_P8,float64,1612,0.274851,,0.19298127
DET_LIKE_P9,float64,5863,0.999659,,0.0
ML_CTS_P9,float64,5865,1.0,,0.0
ML_CTS_P9_ERR,float64,5865,1.0,,0.72727275
ML_CTS_P9_ASYM_ERR,object,5865,1.0,,[-0.          0.72727275]
ML_RATE_P9,float64,5865,1.0,,0.0
ML_RATE_P9_ERR,float64,5865,1.0,,0.017899502
ML_RATE_P9_ASYM_ERR,object,5865,1.0,,[-0.         0.0178995]
ML_FLUX_P9,float64,5865,1.0,,0.0
ML_FLUX_P9_ERR,float64,5865,1.0,,1.4493524e-12
ML_FLUX_P9_ASYM_ERR,object,5865,1.0,,[-0.0000000e+00  1.4493524e-12]
ML_BKG_P9,float64,5865,1.0,,0.060121033
ML_EXP_P9,float64,5865,1.0,,40.630894
ML_EEF_P9,float64,5865,1.0,,0.70057523
APE_CTS_P9,int64,5865,1.0,,0
APE_BKG_P9,float64,5865,1.0,,0.15018699
APE_EXP_P9,float64,5865,1.0,,40.635986
APE_RADIUS_P9,float64,5865,1.0,,13.367275
APE_POIS_P9,float64,1528,0.260529,,0.184141
APE_CTS_S,int64,5865,1.0,,319
APE_BKG_S,float64,5865,1.0,,0.33649442
APE_EXP_S,float64,5865,1.0,,96.63686
APE_POIS_S,float64,5865,1.0,,0.0
FLAG_SP_SNR,int64,5865,1.0,,0
FLAG_SP_BPS,int64,5865,1.0,,0
FLAG_SP_SCL,int64,5865,1.0,,0
FLAG_SP_LGA,int64,5865,1.0,,0
FLAG_SP_GC_CONS,int64,5865,1.0,,0
FLAG_NO_RADEC_ERR,int64,5865,1.0,,0
FLAG_NO_EXT_ERR,int64,5865,1.0,,0
FLAG_NO_CTS_ERR,int64,5865,1.0,,0
FLAG_OPT,int64,5865,1.0,,0
CTS_1,float64,5865,1.0,,665.9055045503262
CTS_1_ERR,object,5865,1.0,,[-32.826027  34.27905 ]
CTS_T,float64,5865,1.0,,518.698109736457
CTS_T_ERR,object,5865,1.0,,[-28.944456  30.400763]
SPEC_EXPOTIME,float64,5865,1.0,,200.8984963
EXPOTIME,float64,5865,1.0,,95.49935913085938
MIN_FLUX_95,float64,5865,1.0,,9.105118003271328e-14
AVERAGE_NH,float64,5863,0.999659,,1.3e+20
WE_AVERAGE_NH,float64,5863,0.999659,,1.29e+20
HR12,float64,5837,0.995226,,-0.2624833333333333
HR12_ERR,object,5865,1.0,,[-0.55848336  0.72651666]
HR23,float64,5837,0.995226,,-0.2674499999999999
HR23_ERR,object,5865,1.0,,[-0.64818335  0.71855   ]
HR13,float64,5837,0.995226,,-0.4961833333333333
HR13_ERR,object,5865,1.0,,[-0.5176167   0.50088334]
PWL15_NORM,float64,5865,1.0,,0.0019140624999991
PWL15_NORM_ERR,object,5865,1.0,,[-0.0001353   0.00014947]
PWL15_FLUX_UNABS_0,float64,5865,1.0,,5.770985724369102e-12
PWL15_FLUX_UNABS_0_ERR,object,5865,1.0,,[-4.1991315e-13  4.3800239e-13]
PWL15_FLUX_ABS_0,float64,5865,1.0,,5.3935536122046224e-12
PWL15_FLUX_ABS_0_ERR,object,5865,1.0,,[-3.9454860e-13  4.0665336e-13]
PWL15_C_VARIANCE,float64,5865,1.0,,11.714211753675777
PWL15_CASH,float64,5865,1.0,,214.0297248899305
PWL15_CSTAT_THEORY,float64,5865,1.0,,75.81712523173802
PWL15_REDCASH,float64,5865,1.0,,2.9726350679157023
PWL15_CASHBINS,int64,5865,1.0,,73
PWL15_CASHPAR,int64,5865,1.0,,1
PWL15_NUM_BINS,int64,5865,1.0,,73
PWL17_NORM,float64,5865,1.0,,0.0019335937499991
PWL17_NORM_ERR,object,5865,1.0,,[-0.0001364   0.00015112]
PWL17_FLUX_UNABS_0,float64,5865,1.0,,5.948055333248256e-12
PWL17_FLUX_UNABS_0_ERR,object,5865,1.0,,[-4.3286967e-13  4.5064760e-13]
PWL17_FLUX_ABS_0,float64,5865,1.0,,5.479614421527362e-12
PWL17_FLUX_ABS_0_ERR,object,5865,1.0,,[-3.9666331e-13  4.1720807e-13]
PWL17_C_VARIANCE,float64,5865,1.0,,11.56920036263782
PWL17_CASH,float64,5865,1.0,,161.4452568484313
PWL17_CSTAT_THEORY,float64,5865,1.0,,75.35260184995434
PWL17_REDCASH,float64,5865,1.0,,2.2422952340059905
PWL17_CASHBINS,int64,5865,1.0,,73
PWL17_CASHPAR,int64,5865,1.0,,1
PWL17_NUM_BINS,int64,5865,1.0,,73
PWL20_NORM,float64,5865,1.0,,0.0019140624999991
PWL20_NORM_ERR,object,5865,1.0,,[-0.00013881  0.00014515]
PWL20_FLUX_UNABS_0,float64,5865,1.0,,6.255326747075823e-12
PWL20_FLUX_UNABS_0_ERR,object,5865,1.0,,[-4.5417695e-13  4.7534985e-13]
PWL20_FLUX_ABS_0,float64,5865,1.0,,5.631511820097321e-12
PWL20_FLUX_ABS_0_ERR,object,5865,1.0,,[-4.0926027e-13  4.2705013e-13]
PWL20_C_VARIANCE,float64,5865,1.0,,11.372586646614046
PWL20_CASH,float64,5865,1.0,,105.68547499565594
PWL20_CSTAT_THEORY,float64,5865,1.0,,74.46902465392068
PWL20_REDCASH,float64,5865,1.0,,1.4678538193841102
PWL20_CASHBINS,int64,5865,1.0,,73
PWL20_CASHPAR,int64,5865,1.0,,1
PWL20_NUM_BINS,int64,5865,1.0,,73
PWL23_NORM,float64,5865,1.0,,0.0018359374999991
PWL23_NORM_ERR,object,5865,1.0,,[-0.00013877  0.00013351]
PWL23_FLUX_UNABS_0,float64,5865,1.0,,6.6355205727976315e-12
PWL23_FLUX_UNABS_0_ERR,object,5865,1.0,,[-4.8364042e-13  5.0376484e-13]
PWL23_FLUX_ABS_0,float64,5865,1.0,,5.812661063954893e-12
PWL23_FLUX_ABS_0_ERR,object,5865,1.0,,[-4.1939539e-13  4.4559362e-13]
PWL23_C_VARIANCE,float64,5865,1.0,,11.210233092199696
PWL23_CASH,float64,5865,1.0,,77.45296407319756
PWL23_CSTAT_THEORY,float64,5865,1.0,,73.42707422608605
PWL23_REDCASH,float64,5865,1.0,,1.075735612127744
PWL23_CASHBINS,int64,5865,1.0,,73
PWL23_CASHPAR,int64,5865,1.0,,1
PWL23_NUM_BINS,int64,5865,1.0,,73
FLUX_JY,float64,5865,1.0,,1.269023437499414e-06
FLUX_JY_ERR,float64,5865,1.0,,5.85061128771649e-08
FREE_NH,float64,1273,0.21705,,7.661053679008142e+19
FREE_NH_ERR,object,5865,1.0,,[-7.6610540e+19  1.4471063e+20]
FREE_GAMMA,float64,1273,0.21705,,2.399166948427635
FREE_GAMMA_ERR,object,5865,1.0,,[-0.17117156  0.20507514]
FREE_NORM,float64,1273,0.21705,,0.0017331514971238
FREE_NORM_ERR,object,5865,1.0,,[-0.00015377  0.00016647]
FREE_FLUX_UNABS_0,float64,1273,0.21705,,6.595059984975922e-12
FREE_FLUX_UNABS_0_ERR,object,5865,1.0,,[-4.757098e-13  5.071467e-13]
FREE_FLUX_ABS_0,float64,1273,0.21705,,6.040790162406329e-12
FREE_FLUX_ABS_0_ERR,object,5865,1.0,,[-4.3917346e-13  4.6010071e-13]
FREE_C_VARIANCE,float64,1273,0.21705,,11.154673471504308
FREE_CASH,float64,1273,0.21705,,73.05276579082945
FREE_CSTAT_THEORY,float64,1273,0.21705,,73.01213492888633
FREE_REDCASH,float64,1273,0.21705,,1.043610939868992
FREE_CASHBINS,int64,5865,1.0,,73
FREE_CASHPAR,int64,5865,1.0,,3
FREE_NUM_BINS,int64,5865,1.0,,73
FIXED_NH,float64,1273,0.21705,,1.3e+20
FIXED_GAMMA,float64,1273,0.21705,,2.464284965346593
FIXED_GAMMA_ERR,object,5865,1.0,,[-0.13503528  0.13621196]
FIXED_NORM,float64,1273,0.21705,,0.0017616988290717
FIXED_NORM_ERR,object,5865,1.0,,[-0.0001417   0.00014858]
FIXED_FLUX_UNABS_0,float64,1273,0.21705,,6.876124793251338e-12
